Section ,Variety,Treatment,Subsection,pH_preplant,pH_post,ActiveC_preplant_mgkg,ActiveC_post_perc,TC_preplant_perc,TC_post_perc,M3P_preplant_mgkg,M3P_post_mgkg,TP_preplant_mgkg,TP_post_mgkg,OM_preplant_perc,OM_post_perc,WHC_preplant_perc,,,,,,,
1,Sunn Hemp,High Fert,NA,7.7,7.56,931.78,0.040578,2.599,2.649,450.79,431.97,39004.71,35983.14328,14.94,17.66,94.04,94.04,,,,,,
1,Sunn Hemp,Min Fert,NA,7.84,7.5,782.34,0.054507,2.839,3.599,452.74,430.64,39487.35,36595.85104,19.1,20.03,94.04,92.04,,,,,,
1,Sunn Hemp,No Fert,NA,7.82,7.13,540.06,0.019255,1.845,2.216,525.13,479.15,40647.01,40149.74055,14.2,18.77,94.04,94.04,,,,,,
2,Sorghum,High Fert,NA,6.38,7.27,492.09,0.013935,1.318,1.596,425.93,488.24,12900.02,28172.20844,4.81,12.12,60.04,80.04,,,,,,
2,Sorghum,Min Fert,NA,6.18,6.75,515.23,0,1.457,1.091,350.12,485.64,9192.53,11734.33208,4.74,4.62,60.04,62.04,,,,,,
2,Sorghum,No Fert,NA,6.75,7.07,657.1,0.010885,1.62,1.356,315.61,459.11,12396.11,27635.68403,6.38,13.38,52.04,90.04,,,,,,
3,Yuma,High Fert,NA,6.35,6.49,143.49,0,0.274,0.687,462.04,534.86,22871.46,20211.11259,2.42,4.015,44.04,47.04,,,,,,
3,Yuma,Min Fert,NA,6.36,6.275,422.19,0,0.817,0.7365,408.69,596.415,15072.18,21284.66995,4.08,4.1,52.04,49.04,,,,,,
3,Yuma,No Fert,NA,7.08,6.7,384.81,0.007025,1.031,1.1555,372.52,501.59,10660.21,13720.87114,4.08,4.155,52.04,53.04,,,,,,
4,Puma,High Fert,NA,7.83,7.56,646.45,0.023316,2.781,1.3675,500.85,486.5513415,38507.49,30473.57227,15.27,8.47,94.04,94.04,,,,,,
4,Puma,Min Fert,NA,7.77,7.6,700.31,0.0515425,2.792,2.15,500.07,507.5407084,38244.51,49355.20173,14,12.84,94.04,94.04,,,,,,
4,Puma,No Fert,NA,7.75,7.59,729.91,0.039459,3.257,2.2135,479.37,503.3556805,40559.5,50825.05519,14.7,12.57,94.04,94.04,,,,,,
5,Yuma-S,High Fert,NA,6.63,6.72,656.14,0.0027315,2.156,0.5055,343.72,414.345525,12523.44,19673.52387,7.1,4.345,68.04,59.04,,,,,,
5,Yuma-S,Min Fert,NA,6.66,6.23,629.66,0.0336245,2.518,1.2735,310.32,298.6526276,10138.37,10249.11424,5.25,3.895,46.04,57.04,,,,,,
5,Yuma-S,No Fert,NA,7.31,6.98,772.74,0.016525,2.701,1.022,492.79,335.1163727,24138.74,7845.261961,9.78,3.475,74.04,49.04,,,,,,
6,Dongma,High Fert,NA,6.88,7.04,422.89,0,0.591,1.045,367.51,502.37,6908.55,12831.50966,3.08,5.965,44.04,59.04,,,,,,
6,Dongma,Min Fert,NA,7.6,7.19,465.07,0,1.158,0.4545,421.77,536.285,13223.43,14238.8885,4.96,3.52,64.04,58.04,,,,,,
6,Dongma,No Fert,NA,7.44,6.885,365.18,0,ND,ND,399.76,449.44,11334.65,9181.334587,3.45,2.38,58.04,54.04,,,,,,
7,Zhongma,High Fert,NA,7.7,7.5,802.56,0.013917,3.357,1.4215,539.29,559.0787385,36881.57,46853.43678,14.16,10.105,94.04,90.04,,,,,,
7,Zhongma,Min Fert,NA,7.74,7.47,1343.75,0.084908,2.547,3.253,463.57,507.360973,38433.47,52826.74674,15.15,14.065,94.04,93.04,,,,,,
7,Zhongma,No Fert,NA,7.82,6.8,232.92,0.0466455,1.954,2.3175,576.19,511.0603994,37557.43,47185.31814,12.44,12.405,94.04,94.04,,,,,,
8,Han-FNQ,High Fert,NA,7.65,6.91,341.68,0.009215,1.889,0.6,340.11,340.7502849,15274.04,11219.93553,5.82,3.42,66.04,52.04,,,,,,
8,Han-FNQ,Min Fert,NA,7.15,7.4,319.12,0.009212,0.027,ND,256.7,454.6269549,5471.18,31393.06214,2.64,7.87,40.04,92.04,,,,,,
8,Han-FNQ,No Fert,NA,7.06,6.2,603.5,0.013798,1.413,2.645,235.25,305.4766532,6560.83,19046.50584,3.84,3.69,46.04,92.04,,,,,,
9,Han-NE,High Fert,NA,6.98,6.69,669.86,0.010368,1.897,0.698,458.22,455.067183,12849.1,15680.9254,10.91,4.895,66.04,68.04,,,,,,
9,Han-NE,Min Fert,NA,9.83,6.87,571.77,0.0171095,1.848,0.6255,385.55,398.1600824,9431.27,13820.01773,5.43,4.415,60.04,58.04,,,,,,
9,Han-NE,No Fert,NA,7.01,7.13,379.43,0.012654,1.233,0.577,362.65,352.893779,9090.32,16468.38364,3.38,3.46,58.04,56.04,,,,,,
10,Han-NW,High Fert,NA,6.29,6.37,408.52,0.015796,0.667,0.844,305.75,296.6307342,6872.24,11803.16987,3.2,4.19,50.04,54.04,,,,,,
10,Han-NW,Min Fert,NA,6.52,6.525,413.79,0.014098,0.752,1.227,312.76,276.5811932,6739.89,12479.03259,3.83,4.35,52.04,55.04,,,,,,
10,Han-NW,No Fert,NA,6.79,6.96,537.85,0.0215465,1.472,0.818,312.31,298.7514131,9722.03,13074.20862,5.01,4.235,54.04,55.04,,,,,,
11,Sunn Hemp,High Fert,NA,7.18,6.59,395.89,0.000717,0.824,0.881,244.01,391.76,5409.93,7980.664353,2.99,4.43,46.04,54.04,,,,,,
